time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-07-19T09:49:21.810Z,37.4970016,-118.8893356,2.11,2.63,md,30,178,0.1045,0.04,nc,nc72842221,2017-07-19T09:52:38.560Z,"Central California",earthquake,0.34,1.13,0.15,28,automatic,nc,nc
2017-07-19T08:18:21.160Z,33.4778333,-116.4386667,13.54,1.15,ml,38,108,0.04672,0.18,ci,ci37706935,2017-07-19T08:22:02.331Z,"23km ESE of Anza, CA",earthquake,0.26,0.49,0.146,27,automatic,ci,ci
2017-07-19T08:10:49.080Z,36.5455017,-121.1381683,5.28,2.33,md,25,96,0.05107,0.07,nc,nc72842151,2017-07-19T08:39:18.467Z,"Central California",earthquake,0.24,0.64,0.17,30,automatic,nc,nc
2017-07-19T07:57:26.550Z,37.4978333,-118.9126663,0.12,1.33,md,11,232,0.1135,0.13,nc,nc72842141,2017-07-19T08:03:04.184Z,"Central California",earthquake,1.07,13.05,0.09,11,automatic,nc,nc
2017-07-19T07:47:11.830Z,37.5111656,-118.9045029,0.19,1.62,md,16,207,0.09893,0.06,nc,nc72842136,2017-07-19T07:52:03.155Z,"Central California",earthquake,0.49,8.5,0.19,15,automatic,nc,nc
2017-07-19T07:42:11.470Z,19.3711662,-155.4141693,8.91,2.6,ml,58,39,0.04066,0.22,hv,hv61840866,2017-07-19T07:47:56.820Z,"Hawaii region, Hawaii",earthquake,0.32,0.51,0.25,8,automatic,hv,hv
2017-07-19T07:41:39.610Z,37.5131683,-118.9046631,0.26,1.44,md,10,224,0.09743,0.04,nc,nc72842126,2017-07-19T07:49:02.144Z,"Central California",earthquake,0.65,8.44,0.09,10,automatic,nc,nc
2017-07-19T07:41:12.490Z,37.5091667,-118.9066696,-1.73,1.42,md,16,209,0.1016,0.11,nc,nc72842121,2017-07-19T09:39:04.422Z,"Central California",earthquake,0.73,9.74,0.07,14,automatic,nc,nc
2017-07-19T07:30:18.600Z,37.5186653,-118.9021683,2.45,1.75,md,18,201,0.0919,0.04,nc,nc72842086,2017-07-19T07:37:02.105Z,"Central California",earthquake,0.47,2.32,0.15,18,automatic,nc,nc
2017-07-19T07:30:05.580Z,37.5041656,-118.9153366,-1.6,1.14,md,10,233,0.1078,0.11,nc,nc72842081,2017-07-19T07:35:03.100Z,"Central California",earthquake,0.96,12.4,0.24,10,automatic,nc,nc
2017-07-19T07:24:58.320Z,37.5125008,-118.9046631,-0.12,1.43,md,13,206,0.09796,0.04,nc,nc72842066,2017-07-19T09:13:01.352Z,"Central California",earthquake,0.56,7.17,0.16,13,automatic,nc,nc
2017-07-19T07:15:27.660Z,26.4679,126.5732,99.41,5.2,mb,,32,1.564,1.42,us,us20009xu0,2017-07-19T07:49:40.403Z,"Ryukyu Islands, Japan",earthquake,4.9,6.4,0.064,80,reviewed,us,us
2017-07-19T06:54:07.950Z,37.4734993,-118.9020004,-0.44,1.65,md,16,231,0.13,0.11,nc,nc72842031,2017-07-19T06:59:02.036Z,"Central California",earthquake,0.87,9.29,0.08,15,automatic,nc,nc
2017-07-19T06:41:55.860Z,34.026,-118.6856667,7.89,1.57,ml,36,67,0.04672,0.19,ci,ci37706855,2017-07-19T06:52:43.700Z,"1km SSE of Malibu Beach, CA",earthquake,0.34,0.67,0.172,29,automatic,ci,ci
2017-07-19T06:03:38.070Z,33.329,-116.8698333,8.45,1.39,ml,48,54,0.02527,0.2,ci,ci37706839,2017-07-19T06:14:31.870Z,"3km S of Palomar Observatory, CA",earthquake,0.23,0.65,0.175,25,automatic,ci,ci
2017-07-19T05:54:18.520Z,37.5281677,-118.8300018,5.74,1.54,md,18,174,0.06176,0.02,nc,nc72841991,2017-07-19T08:05:04.179Z,"Central California",earthquake,0.39,0.87,0.08,16,automatic,nc,nc
2017-07-19T05:48:04.230Z,36.9463348,-121.5446701,5.29,1.4,md,18,108,0.03125,0.17,nc,nc72841981,2017-07-19T07:39:03.115Z,"Northern California",earthquake,0.46,0.83,0.21,16,automatic,nc,nc
