country,sitename,province,locname,loclong,loclat,recs,presses,post_0,ante_0,post_1,ante_1
Algeria,Azeffoun,"Mauretania Caesarensis",none,4.4225,36.8938888,1,5,-999,999,-999,999
Algeria,"Bir Sgaoun","Africa Proconsularis",none,8.34805555,35.2047222,1,6,-999,999,-999,999
Algeria,"Bir Sgauon","Africa Proconsularis","Temple to Saturn",8.34805555,35.2308333,1,2,-999,999,-999,999
Algeria,"Kherbet Agoub ","Mauretania Caesarensis",none,9.59472222,35.6694444,1,21,100,300,450,550
Algeria,"Kherbet Er-R'ihba","Mauretania Caesarensis",none,5.1,35.7833333,1,2,-999,999,-999,999
Algeria,"Kherbet Er-R'ihba","Mauretania Caesarensis",none,5.432968,35.963823,1,2,-999,999,-999,999
Algeria,Nador,"Mauretania Caesarensis",none,-2.93333333,35.1666666,1,2,-999,999,-999,999
Algeria,Perigotville,"Mauretania Caesarensis","El Haïtane",5.495302,36.378438,1,2,-999,999,-999,999
Algeria,Perigotville,"Mauretania Caesarensis",Kherba,5.502041,36.362882,1,8,-999,999,-999,999
Algeria,Theveste,"Africa Proconsularis","Tebessa Khalia",8.11666666,35.3997222,1,6,-999,999,-999,999
Algeria,Tipasa,"Mauretania Caesarensis",none,2.44027777,36.5933333,1,2,-999,999,-999,999
Algeria,Tnourist,"Mauretania Caesarensis",none,6.03333333,35.2833333,1,4,-999,999,-999,999
Croatia,Bale,Italia,"Campo Sorugo",13.78554,45.038838,1,2,-999,999,-999,999
Croatia,Bale,Italia,Valencan,13.78554,45.038838,1,2,-999,999,-999,999
Croatia,Banjole,Italia,"Olmo Grande",13.86478,44.824249,1,2,100,300,100,300
Croatia,Barbariga,Italia,Maricchio,13.764611,44.985941,1,2,-999,999,-999,999
Croatia,Barbariga,Italia,"Villa Marittima",13.74138889,44.9891666,1,10,-100,-1,600,650
Croatia,Briuni,Italia,Castrum,13.758501,44.894065,1,10,-200,-100,300,400
Croatia,Briuni,Italia,"Monte Collisi",13.76666667,44.9166666,1,4,1,30,-999,999
Croatia,Briuni,Italia,"San Nicola",13.76666667,44.9166666,1,1,-999,999,-999,999
Croatia,Briuni,Italia,"Val Catena",13.773971,44.910126,1,3,1,100,-999,999
Croatia,Cervar-Porat,Italia,"bay of Loron",18.19777778,45.6977777,1,3,-999,999,-999,999
Croatia,Galizana,Italia,"San Pietro",13.869739,44.933454,1,2,-999,999,-999,999
Croatia,Galizana,Italia,none,13.869739,44.933454,2,4,-999,999,-999,999
Croatia,Hvar,Dalmatia,"Dol (Kupinovik)",16.619,43.173,1,2,-999,999,-999,999
Croatia,Makarska,Dalmatia,"Sveti Petar",17.01194444,43.2933333,1,2,-999,999,-999,999
Croatia,Medulin,Italia,"San Andrea",13.933171,44.815984,1,2,-999,999,-999,999
Croatia,Morgojelo,Dalmatia,none,17.71416667,43.1122222,1,2,400,600,-999,999
Croatia,Muline,Dalmatia,none,15.07055556,44.1327777,1,2,-999,999,-999,999
