,site,no_prensas,Estimated number,date_str,date_end,fi_dudoso,ft_dudoso,date_str_clean,date_end_clean,average date
0,"Vil·la Romana Santa Rita (Malgrat de Mar, Maresme)",0,2,-25 aC,200 dC?,0,1,-25.0,200.0,87.5
1,"Vil·la Romana Can Jordà (Santa Susanna, Maresme)",0,2,-25 aC,200 dC?,0,1,-25.0,200.0,87.5
2,"Vil·la Romana Can Roig (Pineda de Mar, Maresme)",0,2,-25 aC,200 dC?,0,1,-25.0,200.0,87.5
3,"Vil·la Romana El Roser/ El Mujal (Calella, Maresme)",1,2,-25 aC,100 dC,0,0,-25.0,100.0,37.5
4,"El Moré (Sant Pol de Mar, Maresme)",3,4,-25 aC,100 dC,0,0,-25.0,100.0,37.5
5,"Torre Martina (Sant Pol de Mar, Maresme)",0,2,-25 aC ?,100 dC ?,1,1,-25.0,100.0,37.5
6,"Vil·la Romana Monestir de Sant Pau (Sant Pol de Mar, Maresme)",0,2,-25 aC ?,100 dC ?,1,1,-25.0,100.0,37.5
7,"Vil·la Romana Nucli Antic/Teatre Odeón (Canet de Mar, Maresme)",1,2,-25 aC ?,200 dC ?,1,1,-25.0,200.0,87.5
8,"Vil·la Romana Can Jalpí (Arenys de Mar, Maresme)",0,2,-25 aC,200 dC?,0,1,-25.0,200.0,87.5
9,"Vil·la Romana El Sot del Camp (Sant Vicenç de Montalt, Maresme)",0,2,-25 aC,100 dC,0,0,-25.0,100.0,37.5
10,"Vil·la Romana Can Sans (Sant Andreu de Llavaneres, Maresme)",1,2,-25 aC,300 dC?,0,1,-25.0,300.0,137.5
11,"Vil·la Romana de Can Rafart (Mataró, Maresme)",0,2,-25 aC,300 dC?,0,1,-25.0,300.0,137.5
12,"Vil·la Romana del Parc Central (Mataró, Maresme)",0,2,-25 aC ?,200 dC ?,1,1,-25.0,200.0,87.5
13,"Vil·la Romana de Torrent Forcat-Ca la Madrona? (Mataró, Maresme)",0,2,-25 aC,200 dC,0,0,-25.0,200.0,87.5
14,"Vil·la Romana de Cirera-Torrent de les Piques (Mataró, Maresme)",2,2,-25 aC,200 dC,0,0,-25.0,200.0,87.5
15,"Vil·la Romana de Rocafonda ""Els Caputxins"" (Mataró, Maresme)",1,2,-25 aC,200 dC?,0,1,-25.0,200.0,87.5
16,"Vil·la Romana Torre Llauder (Mataró, Maresme)",2,2,-25 aC,100 dC,0,0,-25.0,100.0,37.5
17,"Vil·la Romana de Can Bartrina/Can Cusani (Argentona, Maresme)",0,1,-40 aC,50 dC,0,0,-40.0,50.0,5.0
18,"Vil·la Romana La Peirota (Cabrera de Mar, Maresme)",1,2,-25 aC,250 dC,0,0,-25.0,250.0,112.5
19,"Vil·la Romana de Can Nolla-Ermita de Santa Anna (Premià de Dalt, Maresme)",1,2,-25 aC,300 dC?,0,1,-25.0,300.0,137.5
20,"Vil·la Romana Can Farrerons (Premià de Mar, Maresme)",1,2,-25 aC,500 dC?,0,1,-25.0,500.0,237.5
21,"Vil·la Romana Partida Fosses o Clotes/El Palau (Premià de Mar/Teià, Maresme)",0,2,-25 aC,200 dC?,0,1,-25.0,200.0,87.5
22,"Vil·la Romana Club de Tenis Barcelona (Teià, Maresme)",0,2,-25 aC,200 dC?,0,1,-25.0,200.0,87.5
23,"Veral de Vallmora (Teià, Maresme)",4,6,-25 aC,425 dC,0,0,-25.0,425.0,200.0
24,"Vil·la Romana de Cal Ros de les Cabres (El Masnou, Maresme)",0,2,-40 aC,300 dC?,0,1,-40.0,300.0,130.0
25,"Vil·la Romana Hort de Can Magre/Hort d'en Parera (Alella, Maresme)",0,2,-25 aC,200 dC?,0,1,-25.0,200.0,87.5
26,"Vil·la Romana Can Sentromà (Tiana, Maresme)",1,2,-25 aC,400 dC?,0,1,-25.0,400.0,187.5
27,"Ciutat Romana de Baetulo (torcular+cella vinaria) (Badalona, Barcelonès)",1,1,-25 aC,100 dC?,0,1,-25.0,100.0,37.5
28,"Vil·la Romana de Can Rivière (Badalona, Barcelonès)",1,2,-25 aC,200 dC?,0,1,-25.0,200.0,87.5
29,"Ciutat Romana de Barcino (torcular+cella vinaria) (Barcelona, Barcelonès)",1,1,-25 aC,300 dC?,0,1,-25.0,300.0,137.5
30,Vil·la Romana de Sant Pau del Camp (Barcelona),0,2,-25 aC,100 dC?,0,1,-25.0,100.0,37.5
31,"Vil·la Romana del Turó de la Rovira (Barcelona, Barcelonès)",0,2,-25 aC,200 dC?,0,1,-25.0,200.0,87.5
32,"Vil·la Romana de Can Cortada (Barcelona, Barcelonès)",1,2,-25 aC,200 dC?,0,1,-25.0,200.0,87.5
33,"Vil·la Romana de Can Mariner (Barcelona, Barcelonès)",0,2,-25 aC,200 dC?,0,1,-25.0,200.0,87.5
34,"Vil·la Romana de Can Ricart (Barcelona, Barcelonès)",1,2,-25 aC,200 dC?,0,1,-25.0,200.0,87.5
35,"Vil·la Romana Monestir de Pedralbes (Barcelona, Barcelonès)",1,1,-25 aC,200 dC?,0,1,-25.0,200.0,87.5
36,"Vil·la Romana de Can Gomis(Barcelona, Barcelonès)",0,2,-25 aC,200 dC?,0,1,-25.0,200.0,87.5
37,"Estadi Olímpic de Montjuïc (Barcelona, Barcelonès)",0,2,-25 aC,150 dC?,0,1,-25.0,150.0,62.5
38,"Mare de Deu del Port (Barcelona, Barcelonès)",0,2,-25 aC,200 dC?,0,1,-25.0,200.0,87.5
39,"Vil·la Romana Pont del Treball Digne-La Sagrera (Barcelona, Barcelonès)",5,6,-30 aC,300 dC,0,0,-30.0,300.0,135.0
40,"Vil·la Romana Estació Sant Andreu-Comtal (Barcelona, Barcelonès)",0,2,-25 aC,200 dC?,0,1,-25.0,200.0,87.5
41,"Vil·la Romana Estació de La Foneria (Barcelona, Barcelonès)",0,2,-25 aC,300? dC,0,1,-25.0,300.0,137.5
42,"Vil·la Romana de Can Batllori (Barcelona, Barcelonès)",0,2,-25 aC,200 dC,0,0,-25.0,200.0,87.5
43,"Vil·la Romana de Can Solà del Racó (Matadepera, Vallès Occidental)",1,2,-25 aC,300? dC,0,1,-25.0,300.0,137.5
44,"Vil·la Romana de Can Bosch de Basea (Terrassa, Vallès Occidental)",0,2,-25 aC,200 dC?,0,1,-25.0,200.0,87.5
45,"Vil·la Romana de l'Aiguacuit (Terrassa, Vallès Occidental)",0,2,-25 aC,200 dC?,0,1,-25.0,200.0,87.5
46,"Vil·la Romana de Torre Bonica (Terrassa, Vallès Occidental)",1,2,-25 aC,100 dC?,0,1,-25.0,100.0,37.5
47,"Vil·la Romana de Can Jofresa -Vil·la Moderata (Terrassa, Vallès Occidental)",0,2,-25 aC,100 dC?,0,1,-25.0,100.0,37.5
48,"Vil·la Romana de Can Bonvilà (Terrassa, Vallès Occidental)",0,2,-25 aC,200 dC?,0,1,-25.0,200.0,87.5
49,"Vil·la Romana de Can Fonollet (Terrassa-Rubí, Vallès Occidental)",0,2,50 dC?,400 dC?,1,1,50.0,400.0,225.0
50,"Vil·la Romana de La Salut (Sabadell, Vallès Occidental)",0,2,-40 aC,200 dC,0,0,-40.0,200.0,80.0
51,"Vil·la Romana de Castellarnau (Sabadell, Vallès Occidental)",0,2,-25 aC,100 dC?,0,1,-25.0,100.0,37.5
52,"Vil·la Romana de Can Roqueta (Sabadell, Vallès Occidental)",0,2,-25 aC,200 dC?,0,1,-25.0,200.0,87.5
53,"Vil·la Romana de Can Marata (Polinyà, Vallès Occidental)",1,2,-25 aC,200 dC?,0,1,-25.0,200.0,87.5
54,"Vil·la Romana de Sant Pau de Riu-sec (Sabadell, Vallès Occidental)",0,2,-100 aC?,200 dC?,1,1,-100.0,200.0,50.0
55,"Vil·la Romana de Can Feu (Sant Quirze del Vallès, Vallès Occidental)",2,2,-25 aC,100 dC?,0,1,-25.0,100.0,37.5
56,"Vil·la Romana del Poble Sec (Sant Quirze del Vallès, Vallès Occidental)",        1 (oli?),2,-25 aC?,400 dC?,1,1,-25.0,400.0,187.5
57,"Vil·la Romana Ermita Santa Maria de les Feixes (Cerdanyola del Vallès, Vallès Occidental)",0,2,50 dC?,100-150 dC?,1,1,50.0,125.0,87.5
58,"Vil·la Romana de Can Cabassa (Sant Cugat del Vallès, Vallès Occidental)",1,2,-25 aC,400 dC,0,0,-25.0,400.0,187.5
59,"Vil·la Romana de Can Sant Joan (Sant Cugat del Vallès, Vallès Occidental)",0,2,-25 aC,200 dC?,0,1,-25.0,200.0,87.5
60,"Vil·la Romana de Ca n'Oriol (Rubí, Vallès Occidental)",0,2,-25 aC,300 dC,0,0,-25.0,300.0,137.5
61,"Can Pedrerol de Baix (Castellbisbal, Vallès Occidental)",4,4,-25 aC,250 dC,0,0,-25.0,250.0,112.5
62,"Vil·la Romana Camí Serra de Can Valls (Palau-solità i Plegamans, Vallès Occidental)",0,2,-25 aC,200 dC?,0,1,-25.0,200.0,87.5
63,"Vil·la Romana de Can Valls (Caldes de Montbui, Vallès Oriental)",0,2,-25 aC,200 dC?,0,1,-25.0,200.0,87.5
64,"Vil·la Romana del Mas Manolo (Caldes de Montbui, Vallès Oriental)",0,2,-25 aC,300 dC?,0,1,-25.0,300.0,137.5
65,"Vil·la Romana Can Terrers (La Garriga, Vallès Oriental)",2,2,-25 aC,300 dC,0,0,-25.0,300.0,137.5
66,"Vil·la Romana de Santa Digna (Les Franqueses del Vallès, Vallès Oriental)",0,2,-25 aC,200 dC?,0,1,-25.0,200.0,87.5
67,"Nucli Antic (Granollers, Vallès Oriental)",1,2,-25 aC,400 dC,0,0,-25.0,400.0,187.5
68,"Vil·la Romana de Ca n'Alzina (Cardedeu, Vallès Oriental)",0,2,-25 aC?,200 dC?,1,1,-25.0,200.0,87.5
69,"Vil·la Romana Can Tintorer (El Papiol, Baix Llobregat)",0,2,-25 aC,100 dC?,0,1,-25.0,100.0,37.5
70,"Vil·la Romana Can Reverter (Sant Vicenç dels Horts, Baix Llobregat)",0,2,-10 aC,120 dC,0,0,-10.0,120.0,55.0
71,"Vil·la Romana de Ca l'Espluga (Pallejà, Baix Llobregat)",0,2,-25 aC,100 dC,0,0,-25.0,100.0,37.5
72,"Vil·la Romana Urbanització Torreblanca (Sant Just Desvern, Baix Llobregat)",1,2,-25 aC,200 dC,0,0,-25.0,200.0,87.5
73,"Vil·la Romana Carretera Reial (Sant Just Desvern/Sant Joan Despí, Baix Llobregat)",1,2,-25 aC,200 dC?,0,1,-25.0,200.0,87.5
74,"Vil·la Romana Ermita del Bon Viatge (Sant Joan Despí, Baix Llobregat)",0,2,-25 aC,200 dC?,0,1,-25.0,200.0,87.5
75,"Vil·la Romana Plaça de l'Església (Cornellà de Llobregat, Baix Llobregat)",2,2,-25 aC,200 dC,0,0,-25.0,200.0,87.5
76,"Vil·la Romana Barri Antic (Sant Boi de Llobregat, Baix Llobregat)",0,2,-25 aC,200 dC?,0,1,-25.0,200.0,87.5
77,"Vil·la Romana Ermita de Sales (Viladecans, Baix Llobregat)",1,2,-25 aC?,100 dC?,1,1,-25.0,100.0,37.5
78,"Vil·la Romana de La Roca (Gavà, Baix Llobregat)",0,2,-25 aC,100 dC?,0,1,-25.0,100.0,37.5
79,"Vil·la Romana Can Valls del Racó (Gavà, Baix Llobregat)",0,2,-25 aC?,100 dC?,1,1,-25.0,100.0,37.5
80,"Vil·la Romana de Sant Pere (Gavà, Baix llobregat)",0,2,-25 aC?,100 dC?,1,1,-25.0,100.0,37.5
81,"Vil·la Romana del Castell (Castelldefels, Baix Llobregat)",0,2,-25 aC,200 dC?,0,1,-25.0,200.0,87.5
82,TOTAL,48,172,nan,nan,0,0,,,
